"CO_MUNICIPIO_IBGE","NO_MUNICIPIO","SG_UF","CO_REGIAO_SAUDE","NO_REGIAO_SAUDE","ST_MUNICIPIO","ST_AMAZONIA","ST_FRONTEIRA","ST_COMUNIDADE_SOLIDARIA","ST_SECA","ST_SEMI_ARIDO","ST_CALAMIDADE","ST_INDIGENA","ST_CAPITAL","NU_AREA","NU_LATITUDE","NU_LONGITUDE","NU_ALTITUDE","ST_REGISTRO_ATIVO","NU_IDH","ST_QUILOMBOLA","NU_ANO_EXTINCAO","NU_ANO_INSTALACAO","ST_RIDE","TP_TIPOLOGIA_PNDR","NU_ANO_REFERENCIA","QT_POPULACAO"
"170720","DOIS IRMAOS DO TOCANTINS","TO",216,"Cantão","ATIVO","S","N","N","N","N","N","N","N",3757,015,"-9,25800","-49,06400",241,"S",0,583,"N","","1989","N","ESTAGNADA",2020,7185
"351420","DOLCINOPOLIS","SP",436,"Jales","ATIVO","N","N","N","N","N","N","N","N",78,144,"-20,12300","-50,51300",463,"S",0,742,"N","","1959","N","ESTAGNADA",2020,2112
"312250","DOM CAVATI","MG",628,"Ipatinga","ATIVO","N","N","N","N","N","N","N","N",69,088,"-19,37400","-42,10600",358,"S",0,688,"N","","1962","N","ESTAGNADA",2020,5048
"220345","DOM INOCENCIO","PI",140,"Serra da Capivara","ATIVO","N","N","N","N","S","S","N","N",4024,385,"-9,00200","-41,97400",340,"S",0,549,"N","","1989","N","DINÂMICA",2020,9565
"351230","CONCHAS","SP",384,"Polo Cuesta","ATIVO","N","N","N","N","N","N","N","N",468,243,"-23,01500","-48,01100",503,"S",0,736,"N","","1916","N","ALTA RENDA",2020,18019
"250450","CONDADO","PB",254,"6ª Região","ATIVO","N","N","N","N","S","N","N","N",280,913,"-6,91000","-37,60100",253,"S",0,594,"N","","1961","N","ESTAGNADA",2020,6658
"311783","CONEGO MARINHO","MG",635,"Januária","ATIVO","N","N","S","N","S","N","N","N",1617,916,"-15,29400","-44,41800",637,"S",0,621,"N","","1997","N","DINÂMICA",2020,7686
"311790","CONGONHAL","MG",654,"Pouso Alegre","ATIVO","N","N","N","N","N","N","N","N",205,756,"-22,15300","-46,03900",862,"S",0,712,"N","","1953","N","ALTA RENDA",2020,12082
"311830","CONSELHEIRO LAFAIETE","MG",584,"Conselheiro Lafaiete","ATIVO","N","N","N","N","N","N","N","N",369,544,"-20,66000","-43,78600",995,"S",0,761,"N","","1790","N","ESTAGNADA",2020,129606
"430580","CONSTANTINA","RS",476,"Região 20 - Rota da Produção","ATIVO","N","S","N","N","N","N","S","N",202,999,"-27,73500","-52,99200",501,"S",0,754,"N","","1959","N","ESTAGNADA",2020,9907
"311870","COQUEIRAL","MG",663,"Três Pontas","ATIVO","N","N","N","N","N","N","N","N",296,556,"-21,18900","-45,44100",867,"S",0,694,"N","","1948","N","ALTA RENDA",2020,9128
"290900","CORDEIROS","BA",335,"Vitória da Conquista","ATIVO","N","N","S","N","S","N","N","N",554,511,"-15,03900","-41,93500",710,"S",0,579,"N","","1961","N","ESTAGNADA",2020,8642
"316110","SAO FRANCISCO","MG",614,"Brasília de Minas/São Francisco","ATIVO","N","N","S","N","N","N","N","N",3299,801,"-15,94900","-44,86400",695,"S",0,638,"N","","1831","N","DINÂMICA",2020,56477
"220965","SAO FRANCISCO DE ASSIS DO PIAUI","PI",75,"Vale do Canindé","ATIVO","N","N","S","N","S","N","N","N",842,453,"-8,23800","-41,68600",415,"S",0,485,"N","","1997","N","DINÂMICA",2020,5779
"330475","SAO FRANCISCO DE ITABAPOANA","RJ",82,"Norte","ATIVO","N","N","S","N","N","N","N","N",1111,335,"-21,47000","-41,11900",8,"S",0,639,"N","","1997","N","DINÂMICA",2020,42210
"292920","SAO FRANCISCO DO CONDE","BA",178,"Salvador","ATIVO","N","N","N","N","N","N","N","N",266,631,"-12,62800","-38,68000",11,"S",0,674,"N","","1697","N","ALTA RENDA",2020,40245
"316140","SAO FRANCISCO DO GLORIA","MG",643,"Muriaé","ATIVO","N","N","N","N","N","N","N","N",164,023,"-20,78900","-42,26800",729,"S",0,663,"N","","1953","N","ESTAGNADA",2020,4800
